TAG_CODE,CAPTURE_CODE,MARCH_FLAG,APR_FLAG,MAY_FLAG,JUNE_FLAG,JULY_FLAG,AUGUST_FLAG,SEP_FLAG,SOCKEYE_FLAG,HATCHERY_REARED,SS_FLAG,LENGTH_MM
3DD.003D4240B1,1,0,0,0,0,0,0,1,1,1,1,89
3DD.003D4240FE,1,0,0,0,0,0,0,1,1,1,1,100
3DD.003D4251FF,1,0,0,0,0,0,0,1,1,1,1,88
3DD.003D425803,1,0,0,0,0,0,0,1,1,1,1,95
3DD.003D424254,1,0,0,0,0,0,0,1,1,1,1,99
3DD.003D4250C2,1,0,0,0,0,0,0,1,1,1,1,84
3DD.003D42533A,1,0,0,0,0,0,0,1,1,1,1,89
3DD.003D42475C,0,0,0,0,0,0,0,1,1,1,1,93
3DD.003D47DDDB,0,0,1,0,0,0,0,0,1,0,1,115
3DD.003D4256BF,0,0,0,0,0,0,0,1,1,1,1,101
3DD.003D47D7BA,0,0,0,0,0,0,0,0,0,0,1,92
3DD.003D424820,0,0,0,0,0,0,0,1,1,1,1,106
3DD.003C09A6B7,0,0,0,0,0,0,0,1,1,1,1,97
3DD.003D4254F2,0,0,0,0,0,0,0,1,1,1,1,101
3DD.003C099E8D,0,0,0,0,0,0,0,1,1,1,1,92
3DD.003D425889,0,0,0,0,0,0,0,1,1,1,1,98
3DD.003D424D6B,0,0,0,0,0,0,0,1,1,1,1,90
3DD.003C09AB65,0,0,0,0,0,0,0,1,1,1,1,101
3DD.003C0998FC,0,0,0,0,0,0,0,1,1,1,1,98
3DD.003C09A054,1,0,0,0,0,0,0,1,1,1,1,90
3DD.003C099BAB,1,0,0,0,0,0,0,1,1,1,1,91
3DD.003C09A9B1,1,0,0,0,0,0,0,1,1,1,1,102
3DD.003D424774,1,0,0,0,0,0,0,1,1,1,1,99
3DD.003D424A18,1,0,0,0,0,0,0,1,1,1,1,89
3DD.003D424552,1,0,0,0,0,0,0,1,1,1,1,88
3DD.003D424BF5,1,0,0,0,0,0,0,1,1,1,1,95
3DD.003D425233,1,0,0,0,0,0,0,1,1,1,1,83
3DD.003D4257F2,1,0,0,0,0,0,0,1,1,1,1,86
3DD.003D424CB7,0,0,0,0,0,0,0,1,1,1,1,93
3DD.003D4256F4,0,0,0,0,0,0,0,1,1,1,1,96
